GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jevdaya,com.jevdaya.controller,AuthController,104,8,14,0,20,2,11,2,4,2
Jevdaya,com.jevdaya.controller,GalleryController,0,17,0,0,0,5,0,4,0,4
Jevdaya,com.jevdaya.controller,GaushalaHelpController,0,28,0,0,0,7,0,5,0,5
Jevdaya,com.jevdaya.controller,UserController,0,12,0,0,0,3,0,3,0,3
Jevdaya,com.jevdaya.controller,DonationController,438,104,50,2,82,19,34,4,8,4
Jevdaya,com.jevdaya.Entity,User,0,6,0,0,0,2,0,1,0,1
Jevdaya,com.jevdaya,SecurityConfig,0,199,0,0,0,24,0,9,0,9
Jevdaya,com.jevdaya,CorsConfig,0,42,0,0,0,10,0,2,0,2
Jevdaya,com.jevdaya,JwtAuthenticationFilter,19,126,5,5,2,23,5,5,2,3
Jevdaya,com.jevdaya,RoleSeeder,0,60,0,0,0,17,0,5,0,5
Jevdaya,com.jevdaya,CustomUserDetailsService,0,42,0,0,0,9,0,4,0,4
Jevdaya,com.jevdaya,JevdayaApplication,5,3,0,0,2,1,1,1,1,1
Jevdaya,com.jevdaya,JwtUtil,11,98,3,1,5,33,2,6,0,6
Jevdaya,com.jevday.util,AESUtil,3,72,0,0,1,15,1,2,1,2
Jevdaya,com.jevday.util,EmailTemplateUtil,22,57,9,9,1,11,10,1,1,1
Jevdaya,com.jevdaya.serviceImpl,GalleryServiceImpl,0,21,0,0,0,6,0,4,0,4
Jevdaya,com.jevdaya.serviceImpl,AuthServiceImpl,142,165,15,15,34,31,12,9,3,3
Jevdaya,com.jevdaya.serviceImpl,UserServiceImpl,63,300,8,44,12,63,7,24,1,4
Jevdaya,com.jevdaya.serviceImpl,AuthServiceImpl.OtpData,9,0,0,0,4,0,1,0,1,0
Jevdaya,com.jevdaya.serviceImpl,DonationServiceImpl,43,719,12,20,7,143,12,10,0,6
Jevdaya,com.jevdaya.serviceImpl,GaushalaHelpServiceImpl,0,55,0,0,0,12,0,6,0,6
